27,040128-300358: MUNICIPALIDAD DISTRITAL DE YURA,4861069,48101893,46631579,37138898,36459431,32326641,28977638,67.2
28,040129-300359: MUNICIPALIDAD DISTRITAL DE JOSE LUIS BUSTAMANTE Y RIVERO,3742672,12157187,11397910,5204733,5197215,4401736,4302701,36.2
29,040201-300360: MUNICIPALIDAD PROVINCIAL DE CAMANA,37298803,51636445,48229377,43257555,15552807,12787059,12786589,24.8
30,040202-300361: MUNICIPALIDAD DISTRITAL DE JOSE MARIA QUIMPER,695728,8339330,6412932,1322743,1322743,1315493,1280183,15.8
31,040203-300362: MUNICIPALIDAD DISTRITAL DE MARIANO NICOLAS VALCARCEL,1557087,6389249,4441609,2596924,2596924,2529571,2529571,39.6
32,040204-300363: MUNICIPALIDAD DISTRITAL DE MARISCAL CACERES,1270537,5921629,5815165,3065590,3051190,2986633,2953633,50.4
33,040205-300364: MUNICIPALIDAD DISTRITAL DE NICOLAS DE PIEROLA,4019779,13942130,13782978,12967284,8680014,8660634,7646194,62.1
34,040206-300365: MUNICIPALIDAD DISTRITAL DE OCOÑA,6326483,14430564,12313163,1813544,1812544,1594006,1594006,11.0
35,040207-300366: MUNICIPALIDAD DISTRITAL DE QUILCA,172000,4524333,4408243,4175560,4175560,4051766,4050168,89.6
36,040208-300367: MUNICIPALIDAD DISTRITAL DE SAMUEL PASTOR,3761872,10580844,10306728,8469754,8432338,4944935,4934814,46.7
37,040301-300368: MUNICIPALIDAD PROVINCIAL DE CARAVELI,487059,5518481,2501948,2158975,2158975,2086985,2061839,37.8
38,040302-300369: MUNICIPALIDAD DISTRITAL DE ACARI,1351565,4992921,4415928,3043185,3043185,3042838,3042804,60.9
39,040303-300370: MUNICIPALIDAD DISTRITAL DE ATICO,840550,6334240,4925640,4718629,4717089,4028039,4010993,63.6
40,040304-300371: MUNICIPALIDAD DISTRITAL DE ATIQUIPA,224841,1337585,986121,459575,459575,459575,459575,34.4
41,040305-300372: MUNICIPALIDAD DISTRITAL DE BELLA UNION,329588,6910939,6392296,4792208,4758253,4733920,4733270,68.5
42,040306-300373: MUNICIPALIDAD DISTRITAL DE CAHUACHO,223234,1802907,1390779,204704,204704,204704,202848,11.4
43,040307-300374: MUNICIPALIDAD DISTRITAL DE CHALA,1645798,2970084,1948424,1912839,1911541,1624854,1612218,54.7
44,040308-300375: MUNICIPALIDAD DISTRITAL DE CHAPARRA,1007520,9319810,9046452,7182658,4660621,4497371,4450936,48.3
45,040309-300376: MUNICIPALIDAD DISTRITAL DE HUANUHUANU,814452,4395337,2188076,915028,915028,905279,843516,20.6
46,040310-300377: MUNICIPALIDAD DISTRITAL DE JAQUI,325438,1290751,741932,417193,417193,417193,417193,32.3
47,040311-300378: MUNICIPALIDAD DISTRITAL DE LOMAS,340778,2537428,2162071,838988,838988,838988,838103,33.1
48,040312-300379: MUNICIPALIDAD DISTRITAL DE QUICACHA,547158,6523376,6139158,3271909,3244077,3244077,3235398,49.7
49,040313-300380: MUNICIPALIDAD DISTRITAL DE YAUCA,417986,4610598,4274309,1716149,1716149,1556915,1555434,33.8
50,040401-300381: MUNICIPALIDAD PROVINCIAL DE CASTILLA - APLAO,69669428,79242884,72971767,3287363,3286262,2370027,2330793,3.0
51,040402-300382: MUNICIPALIDAD DISTRITAL DE ANDAGUA,301783,7727840,6577108,2013874,2013874,1847274,1826650,23.9
52,040403-300383: MUNICIPALIDAD DISTRITAL DE AYO,49007,3791132,3511483,3479482,3479482,1514697,1502843,40.0
53,040404-300384: MUNICIPALIDAD DISTRITAL DE CHACHAS,412923,5958003,5653964,5444503,5274178,5174635,5163955,86.9
54,040405-300385: MUNICIPALIDAD DISTRITAL DE CHILCAYMARCA,667005,2071741,1780455,1647281,1647281,1522307,1522263,73.5
55,040406-300386: MUNICIPALIDAD DISTRITAL DE CHOCO,300385,3785463,3452681,3224954,3170535,3137059,3135759,82.9
56,040407-300387: MUNICIPALIDAD DISTRITAL DE HUANCARQUI,364170,1029122,982211,868738,824457,820957,819757,79.8
57,040408-300388: MUNICIPALIDAD DISTRITAL DE MACHAGUAY,85341,3016729,571889,281376,243577,190932,173067,6.3
58,040409-300389: MUNICIPALIDAD DISTRITAL DE ORCOPAMPA,1045031,10038891,8418620,3344160,3344160,3146219,3136976,31.3
59,040410-300390: MUNICIPALIDAD DISTRITAL DE PAMPACOLCA,280384,3938734,3849635,1024172,1024172,908293,908293,23.1
60,040411-300391: MUNICIPALIDAD DISTRITAL DE TIPAN,63068,3077593,2937651,715782,715782,700148,700148,22.8
61,040412-300392: MUNICIPALIDAD DISTRITAL DE UÑON,4126949,6802800,5991542,4617240,2962364,2934964,2911664,43.1
62,040413-300393: MUNICIPALIDAD DISTRITAL DE URACA,10811084,17958867,17229877,17067882,7607393,7354659,7354659,41.0
63,040414-300394: MUNICIPALIDAD DISTRITAL DE VIRACO,167304,5209396,4205300,539667,539660,436283,436283,8.4
64,040501-300395: MUNICIPALIDAD PROVINCIAL DE CAYLLOMA - CHIVAY,1325190,21392380,20275059,8814844,8426839,7118360,7017692,33.3
65,040502-300396: MUNICIPALIDAD DISTRITAL DE ACHOMA,182199,2918951,1692502,527849,527849,490849,490849,16.8
66,040503-300397: MUNICIPALIDAD DISTRITAL DE CABANACONDE,2823231,5312161,4907872,4391958,3010124,3009964,2983382,56.7
67,040504-300398: MUNICIPALIDAD DISTRITAL DE CALLALLI,799123,1547045,1092906,821709,821709,821709,820454,53.1
68,040505-300399: MUNICIPALIDAD DISTRITAL DE CAYLLOMA,1735077,5735194,4956461,4758725,4758725,4069093,3846295,71.0
69,040506-300400: MUNICIPALIDAD DISTRITAL DE COPORAQUE,254035,4342060,1056633,907272,906230,903830,903525,20.8
70,040507-300401: MUNICIPALIDAD DISTRITAL DE HUAMBO,191283,3267523,3090610,361881,361881,330526,330526,10.1
71,040508-300402: MUNICIPALIDAD DISTRITAL DE HUANCA,533305,2349943,1965493,1256567,1250060,1189720,1157426,50.6
72,040509-300403: MUNICIPALIDAD DISTRITAL DE ICHUPAMPA,143744,2965766,2588011,2396376,2396376,2396376,2396376,80.8
73,040510-300404: MUNICIPALIDAD DISTRITAL DE LARI,167678,2850024,2683287,2556118,2526689,2526689,2516239,88.7
74,040511-300405: MUNICIPALIDAD DISTRITAL DE LLUTA,479798,7386801,6923959,1628059,1628059,1601119,1601119,21.7
75,040512-300406: MUNICIPALIDAD DISTRITAL DE MACA,151734,1552886,1391186,625689,625689,625689,624288,40.3
76,040513-300407: MUNICIPALIDAD DISTRITAL DE MADRIGAL,396484,2941614,2887504,1884515,1482078,1462746,1388079,49.7
77,040514-300408: MUNICIPALIDAD DISTRITAL DE SAN ANTONIO DE CHUCA,428133,1384010,1207881,1003393,1003393,981393,981393,70.9
78,040515-300409: MUNICIPALIDAD DISTRITAL DE SIBAYO,197609,1441280,1386786,326303,326303,323803,323803,22.5
79,040516-300410: MUNICIPALIDAD DISTRITAL DE TAPAY,1398860,4561827,3675343,3046658,2834721,2664901,2658705,58.4
80,040517-300411: MUNICIPALIDAD DISTRITAL DE TISCO,602284,2052199,1735007,1058088,1057087,902802,871802,44.0
81,040518-300412: MUNICIPALIDAD DISTRITAL DE TUTI,154978,683227,460883,457505,454785,451985,422015,66.2
82,040519-300413: MUNICIPALIDAD DISTRITAL DE YANQUE,596418,3850902,3164751,3149331,3149331,2950073,2950073,76.6
83,040520-300414: MUNICIPALIDAD DISTRITAL DE MAJES,40566725,87770691,61299261,53455920,52501761,45853888,44028897,52.2
84,040601-300415: MUNICIPALIDAD PROVINCIAL DE CONDESUYOS - CHUQUIBAMBA,21034593,31983371,19194274,15056325,14218439,13941326,13938204,43.6
85,040602-300416: MUNICIPALIDAD DISTRITAL DE ANDARAY,706878,4400796,3466245,2850149,2850149,2226497,2214911,50.6
86,040603-300417: MUNICIPALIDAD DISTRITAL DE CAYARANI,1085058,4624838,4115881,2266739,2214061,2140015,2063880,46.3
87,040604-300418: MUNICIPALIDAD DISTRITAL DE CHICHAS,222591,14988431,14826994,7790862,4553843,4483564,4466109,29.9
88,040605-300419: MUNICIPALIDAD DISTRITAL DE IRAY,108391,4489395,4436597,1387225,1387225,1386505,1386505,30.9
89,040606-300420: MUNICIPALIDAD DISTRITAL DE RIO GRANDE,1363108,10803450,5158551,4315081,4314727,4279857,4189259,39.6
90,040607-300421: MUNICIPALIDAD DISTRITAL DE SALAMANCA,1802199,6190692,5913504,3532538,3374917,3371385,3366765,54.5
91,040608-300422: MUNICIPALIDAD DISTRITAL DE YANAQUIHUA,1356490,14487298,10897219,10412128,10395290,5400198,5243948,37.3
92,040701-300423: MUNICIPALIDAD PROVINCIAL DE ISLAY - MOLLENDO,7386366,21927489,21541901,15820747,15808218,12454812,12424962,56.8
93,040702-300424: MUNICIPALIDAD DISTRITAL DE COCACHACRA,4107427,18358200,11968978,8129125,8076188,7511257,7427611,40.9
94,040703-300425: MUNICIPALIDAD DISTRITAL DE DEAN VALDIVIA,1823020,8780894,7821952,5514657,5184176,4612025,4595462,52.5
95,040704-300426: MUNICIPALIDAD DISTRITAL DE ISLAY,870905,11241986,10431012,9479929,9456828,8933535,4404559,79.5
96,040705-300427: MUNICIPALIDAD DISTRITAL DE MEJIA,1950378,6145438,6017746,3715203,3715203,1526805,1526805,24.8
97,040706-300428: MUNICIPALIDAD DISTRITAL DE PUNTA DE BOMBON,3908343,8994773,4284786,3897020,3897020,3428500,3392578,38.1
98,040801-300429: MUNICIPALIDAD PROVINCIAL DE LA UNION - COTAHUASI,628435,11024849,9607352,1041563,1041563,900513,900057,8.2
99,040802-300430: MUNICIPALIDAD DISTRITAL DE ALCA,317885,2902528,2659504,634579,634579,634579,630579,21.9
100,040803-300431: MUNICIPALIDAD DISTRITAL DE CHARCANA,98987,9875594,5866587,5540922,3326714,3326711,3326711,33.7
101,040804-300432: MUNICIPALIDAD DISTRITAL DE HUAYNACOTAS,416294,11777853,5926328,315560,315560,280896,274740,2.4
102,040805-300433: MUNICIPALIDAD DISTRITAL DE PAMPAMARCA,207906,3414677,2931315,2559665,1386801,1383800,1382218,40.5
103,040806-300434: MUNICIPALIDAD DISTRITAL DE PUYCA,710660,2634525,1873716,1418253,1418253,1138494,1132344,43.2
104,040807-300435: MUNICIPALIDAD DISTRITAL DE QUECHUALLA,74716,2188438,2007131,1959622,1511123,1511123,1509868,69.1
105,040808-300436: MUNICIPALIDAD DISTRITAL DE SAYLA,82493,2960589,2927150,201997,201997,201997,197703,6.8
106,040809-300437: MUNICIPALIDAD DISTRITAL DE TAURIA,70699,2737232,2625271,1266357,1048512,1048512,1048511,38.3
107,040810-300438: MUNICIPALIDAD DISTRITAL DE TOMEPAMPA,117129,5808925,4870881,305031,305031,305031,305031,5.3
108,040811-300439: MUNICIPALIDAD DISTRITAL DE TORO,140834,4977027,2318555,2158887,1654300,1654299,1652299,33.2
